slug,brand,variant,file_name,file_path,source_url,source_page,width_px,height_px,context,status
abs_all_star_standard,abs,main,abs-all-star-standard-hero.jpg,abs/abs-all-star-standard/abs-all-star-standard-hero.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/1-All-Star-Feature-Photo.jpg,https://www.americanbarbecuesystems.com/product/all-star/,1920,1440,Front view of the ABS All star.,downloaded
abs_all_star_standard,abs,main,abs-all-star-standard-gallery-1.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-1.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/2.jpg,https://www.americanbarbecuesystems.com/product/all-star/,1920,1440,Front view of the ABS All-Star,downloaded
abs_all_star_standard,abs,main,abs-all-star-standard-gallery-2.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-2.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/3.jpg,https://www.americanbarbecuesystems.com/product/all-star/,1920,1440,Front view of the ABS All-Star,downloaded
abs_all_star_standard,abs,main,abs-all-star-standard-gallery-3.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-3.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/7.jpg,https://www.americanbarbecuesystems.com/product/all-star/,1920,1440,Front view of the ABS All-Star,downloaded
abs_all_star_standard,abs,main,abs-all-star-standard-gallery-4.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-4.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/8.jpg,https://www.americanbarbecuesystems.com/product/all-star/,1920,1440,Close up front view of the ABS All-Star,downloaded
abs_all_star_standard,abs,main,abs-all-star-standard-gallery-5.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-5.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/9.jpg,https://www.americanbarbecuesystems.com/product/all-star/,1920,1440,Close up front view of the ABS All-Star,downloaded
abs_all_star_standard,abs,main,abs-all-star-standard-gallery-6.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-6.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/10.jpg,https://www.americanbarbecuesystems.com/product/all-star/,1920,1440,All-Star with open doors showing rotisserie.,downloaded
abs_all_star_standard,abs,main,abs-all-star-standard-gallery-7.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-7.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/12.jpg,https://www.americanbarbecuesystems.com/product/all-star/,1920,1440,All-Star with open doors showing rotisserie.,downloaded
abs_all_star_standard,abs,main,abs-all-star-standard-gallery-8.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-8.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/13-1.jpg,https://www.americanbarbecuesystems.com/product/all-star/,1920,1440,All-Star with open doors showing rotisserie.,downloaded
abs_all_star_standard,abs,main,abs-all-star-standard-gallery-9.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-9.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/14.jpg,https://www.americanbarbecuesystems.com/product/all-star/,1920,1440,All-Star with open doors showing rotisserie.,downloaded
